Topic 0;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5
0.0;0.0;0.0;0.9926825761795044;0.0;0.0
0.5709972381591797;0.0;0.0;0.42361652851104736;0.0;0.0
0.0;0.0;0.9922933578491211;0.0;0.0;0.0
0.0;0.0;0.0;0.03932013735175133;0.0;0.9550302028656006
0.0;0.9377418160438538;0.05495576560497284;0.0;0.0;0.0
0.0;0.9952870607376099;0.0;0.0;0.0;0.0
0.13918177783489227;0.5301907658576965;0.0;0.3231997787952423;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9931721687316895
0.0;0.0;0.0;0.0;0.9899951219558716;0.0
0.0;0.0;0.5233328938484192;0.46803775429725647;0.0;0.0
0.0;0.9922814965248108;0.0;0.0;0.0;0.0
0.0;0.0;0.9927530288696289;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9898691773414612
0.0;0.8005166053771973;0.19533003866672516;0.0;0.0;0.0
0.9879963994026184;0.0;0.0;0.0;0.0;0.0
0.0;0.784433126449585;0.2128876894712448;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.9931074976921082;0.0
0.0;0.0;0.0;0.0;0.0;0.9893723726272583
0.9942849278450012;0.0;0.0;0.0;0.0;0.0
0.995381772518158;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.9894936680793762;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9923616647720337
0.0;0.0;0.9938233494758606;0.0;0.0;0.0
0.0;0.0;0.5920488238334656;0.0;0.4008033573627472;0.0
0.0;0.0;0.0;0.0;0.9908753037452698;0.0
0.0;0.3521632254123688;0.6417872905731201;0.0;0.0;0.0
0.0;0.0;0.38061168789863586;0.6138694286346436;0.0;0.0
0.0;0.0;0.9934365749359131;0.0;0.0;0.0
0.0;0.9978727698326111;0.0;0.0;0.0;0.0
0.0;0.9942074418067932;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.9940738677978516;0.0
0.0;0.0;0.979511559009552;0.0;0.0;0.0
0.0;0.0;0.0;0.9922879934310913;0.0;0.0
0.9938282370567322;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.4883878529071808;0.0;0.0;0.5072185397148132
0.0;0.0;0.9919255971908569;0.0;0.0;0.0
0.0;0.0;0.9940049648284912;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9506152272224426
0.0;0.9866787791252136;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.9922889471054077;0.0;0.0
0.0;0.0;0.0;0.4119172692298889;0.5806818008422852;0.0
0.0;0.0;0.9929577708244324;0.0;0.0;0.0
0.0;0.0;0.9946783781051636;0.0;0.0;0.0
